antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'1042152'}),frozenset({'5062984'}),0.004977197490566475,0.0078246174502859,0.001481584369284904,0.29767441860465116,38.04331911380212,1.0,0.0014426397029466984,1.4127000480012484,0.9785847854916011,0.130879345603272,0.29213565086598187,0.24351176551534331
frozenset({'1042152'}),frozenset({'5051027'}),0.004977197490566475,0.006759728684862375,0.0011806375442739079,0.23720930232558138,35.09154189232239,1.0,0.0011469930396267006,1.3021137703216743,0.9763626543167637,0.11184210526315787,0.23201795204657125,0.20593341828607836
frozenset({'5051027'}),frozenset({'5062984'}),0.006759728684862375,0.0078246174502859,0.0018056809500659769,0.2671232876712329,34.13883034773446,1.0,0.0017527886590392046,1.3538094004883947,0.9773142213417241,0.14130434782608695,0.2613435837871683,0.24894625922023184
frozenset({'5062984'}),frozenset({'5051027'}),0.0078246174502859,0.006759728684862375,0.0018056809500659769,0.23076923076923078,34.13883034773446,1.0,0.0017527886590392046,1.291212352709679,0.9783631598186301,0.14130434782608695,0.22553405107885938,0.24894625922023184
